;min_price;max_price;mean_price;std_price;upward_price_variation;spread
2012-01-01;-0.08;33.78;18.19;10.04;44.54;33.86
2012-01-02;-11.07;64.03;33.819;22.038;77.15;75.1
2012-01-03;15.96;53.1;35.026;10.468;45.72;37.14
2012-01-04;0.04;57.42;32.163;18.943;64.52;57.38
2012-01-05;-75.04;47.61;20.35;33.183;125.48;122.65
2012-01-06;6.29;65.24;36.257;16.711;67.7;58.95
2012-01-07;11.77;49.01;32.576;9.263;43.78;37.24
2012-01-08;-0.09;55.01;26.828;18.705;75.73;55.1
2012-01-09;32.46;64.48;47.908;10.328;42.76;32.02
2012-01-10;28.06;61.18;45.773;10.286;37.02;33.12
2012-01-11;29.41;70.99;47.833;10.017;47.41;41.58
2012-01-12;28.89;56.42;43.104;8.115;44.63;27.53
2012-01-13;16.36;53.43;36.693;11.289;48.82;37.07
2012-01-14;28.02;62.0;40.061;8.973;46.19;33.98
2012-01-15;32.73;56.53;41.582;6.697;32.63;23.8
2012-01-16;33.47;70.45;49.509;9.645;50.11;36.98
2012-01-17;38.08;68.2;50.018;8.235;41.61;30.12
2012-01-18;37.31;62.75;45.372;6.277;38.04;25.44
2012-01-19;31.0;57.97;45.158;8.828;43.29;26.97
2012-01-20;27.52;58.46;42.734;8.456;39.77;30.94
2012-01-21;16.92;47.55;37.605;6.63;28.55;30.63
2012-01-22;-100.08;45.32;13.657;29.583;172.05;145.4
2012-01-23;28.02;60.2;44.008;9.67;42.84;32.18
2012-01-24;34.42;67.01;49.351;9.099;40.48;32.59
2012-01-25;37.0;66.09;47.158;7.783;42.02;29.09
2012-01-26;33.59;58.51;45.182;7.603;42.5;24.92
2012-01-27;34.31;65.04;48.756;8.757;50.31;30.73
2012-01-28;36.06;60.42;45.339;6.78;39.36;24.36
2012-01-29;33.38;55.97;41.498;6.664;40.49;22.59
2012-01-30;29.67;59.28;44.309;8.897;40.99;29.61
2012-01-31;36.69;70.94;48.721;8.873;50.45;34.25
2012-02-01;38.52;78.92;51.21;9.704;53.8;40.4
2012-02-02;39.76;120.0;62.338;21.4;126.64;80.24
2012-02-03;42.16;111.42;63.813;21.158;125.84;69.26
2012-02-04;42.64;103.46;51.378;12.935;79.76;60.82
2012-02-05;39.09;58.95;44.33;5.106;29.85;19.86
2012-02-06;40.2;142.91;78.947;29.603;148.93;102.71
2012-02-07;45.0;125.07;78.122;26.844;132.04;80.07
2012-02-08;42.48;210.0;98.982;45.764;227.97;167.52
2012-02-09;42.44;169.9;76.487;29.288;178.16;127.46
2012-02-10;44.9;183.49;82.478;41.623;237.71;138.59
2012-02-11;40.42;95.2;53.193;13.551;78.85;54.78
2012-02-12;36.12;66.91;42.498;8.012;38.17;30.79
2012-02-13;40.04;138.71;84.427;34.409;144.94;98.67
2012-02-14;34.0;97.41;63.873;18.937;82.62;63.41
2012-02-15;13.33;55.91;35.977;11.741;47.96;42.58
2012-02-16;40.25;82.31;54.887;13.204;73.63;42.06
2012-02-17;34.56;72.2;48.068;10.119;55.72;37.64
2012-02-18;32.66;54.7;42.095;7.328;43.77;22.04
2012-02-19;14.67;51.72;28.745;11.739;64.55;37.05
2012-02-20;34.63;89.52;50.637;15.631;97.61;54.89
2012-02-21;31.06;75.8;43.62;11.716;59.88;44.74
2012-02-22;28.4;57.91;43.794;7.665;38.54;29.51
2012-02-23;12.64;72.21;41.026;15.557;67.87;59.57
2012-02-24;27.75;58.67;44.781;9.626;40.18;30.92
2012-02-25;31.32;59.73;40.3;7.156;49.67;28.41
2012-02-26;30.28;66.78;42.767;10.964;52.52;36.5
2012-02-27;33.55;65.47;47.258;9.034;50.44;31.92
2012-02-28;35.9;61.19;47.42;7.93;36.68;25.29
2012-02-29;30.1;68.24;49.325;11.449;55.95;38.14
2012-03-01;30.93;64.72;47.448;9.498;53.88;33.79
2012-03-02;35.6;61.18;49.036;7.743;44.97;25.58
2012-03-03;30.4;63.43;39.384;8.242;44.88;33.03
2012-03-04;29.65;57.7;37.466;7.554;39.07;28.05
2012-03-05;24.68;85.79;44.546;14.011;71.94;61.11
2012-03-06;37.06;77.54;48.552;9.433;58.12;40.48
2012-03-07;35.36;64.1;43.245;8.094;46.83;28.74
2012-03-08;29.04;89.94;45.895;13.071;69.92;60.9
2012-03-09;38.65;64.94;47.737;7.386;45.63;26.29
2012-03-10;33.0;61.24;41.735;7.323;43.24;28.24
2012-03-11;16.65;56.77;31.683;12.026;57.81;40.12
2012-03-12;25.45;69.89;45.053;11.474;55.9;44.44
2012-03-13;34.39;79.21;47.902;10.576;65.41;44.82
2012-03-14;31.82;82.16;46.735;10.74;67.04;50.34
2012-03-15;33.11;73.98;47.471;10.498;64.4;40.87
2012-03-16;33.46;64.93;43.681;7.832;50.89;31.47
2012-03-17;24.12;68.2;40.22;10.627;62.02;44.08
2012-03-18;24.52;65.28;34.399;10.212;54.17;40.76
2012-03-19;23.88;121.97;46.02;20.353;117.8;98.09
2012-03-20;31.3;88.19;43.437;12.073;73.91;56.89
2012-03-21;33.61;84.47;45.562;11.579;71.83;50.86
2012-03-22;32.43;75.45;45.347;9.711;59.94;43.02
2012-03-23;27.14;63.53;41.747;8.432;49.42;36.39
2012-03-24;26.29;58.5;38.63;7.068;55.52;32.21
2012-03-25;11.19;44.85;25.369;9.574;44.22;33.66
2012-03-26;23.16;67.14;41.603;12.67;66.49;43.98
2012-03-27;21.29;55.0;39.403;9.595;53.67;33.71
2012-03-28;21.55;58.07;39.256;11.001;52.52;36.52
2012-03-29;14.2;48.93;31.615;11.589;57.22;34.73
2012-03-30;16.12;49.89;35.558;11.169;47.43;33.77
2012-03-31;-3.03;39.96;19.238;12.212;64.16;42.99
2012-04-01;-0.08;44.94;24.103;10.863;50.76;45.02
2012-04-02;11.71;65.53;43.543;17.623;72.01;53.82
2012-04-03;35.21;65.53;50.551;8.602;42.15;30.32
2012-04-04;32.37;59.95;47.77;8.798;42.03;27.58
2012-04-05;34.15;65.98;50.022;9.28;45.14;31.83
2012-04-06;33.9;49.65;41.773;5.384;38.32;15.75
2012-04-07;29.11;49.64;39.451;6.937;46.77;20.53
2012-04-08;24.75;52.84;35.199;9.028;32.57;28.09
2012-04-09;11.86;34.26;21.86;7.938;44.42;22.4
2012-04-10;11.45;70.0;40.671;17.878;69.21;58.55
2012-04-11;35.63;79.24;53.856;12.391;57.34;43.61
2012-04-12;39.06;64.95;52.959;8.767;47.4;25.89
2012-04-13;40.75;81.19;56.677;12.243;61.94;40.44
2012-04-14;36.66;53.91;45.09;4.897;29.22;17.25
2012-04-15;27.74;43.48;34.369;4.898;27.96;15.74
2012-04-16;28.0;62.93;45.262;12.12;59.28;34.93
2012-04-17;38.44;78.19;51.495;11.429;64.93;39.75
2012-04-18;34.4;76.41;50.878;12.74;56.85;42.01
2012-04-19;36.37;63.45;50.399;9.166;47.42;27.08
2012-04-20;39.95;77.98;53.867;11.558;55.12;38.03
2012-04-21;34.84;54.11;42.163;5.729;32.98;19.27
2012-04-22;30.21;53.71;37.777;6.777;35.62;23.5
2012-04-23;34.08;67.02;51.395;9.654;63.57;32.94
2012-04-24;34.7;63.95;51.213;10.449;39.36;29.25
2012-04-25;34.62;59.82;44.1;6.198;36.51;25.2
2012-04-26;24.92;59.22;41.63;10.6;50.83;34.3
