;min_daily_upward_price_variation;max_daily_upward_price_variation;mean_daily_upward_price_variation;std_daily_upward_price_variation;total_sum_upward_price_variation_for_month;monthly_price_variation_spread
2012-01;28.55;172.05;53.127;28.428;1646.94;143.5
2012-02;29.85;237.71;86.905;56.16;2520.25;207.86
2012-03;39.07;117.8;58.395;14.575;1810.25;78.73
2012-04;27.96;72.01;48.711;11.911;1461.33;44.05
2012-05;28.56;72.85;41.114;9.609;1274.53;44.29
2012-06;30.58;54.3;43.749;6.87;1312.47;23.72
2012-07;24.98;55.03;40.056;9.064;1241.74;30.05
2012-08;20.83;67.31;37.142;9.29;1151.4;46.48
2012-09;34.07;81.18;50.598;10.989;1517.93;47.11
2012-10;24.37;84.58;60.708;14.59;1881.96;60.21
2012-11;32.56;92.59;54.559;14.275;1636.77;60.03
2012-12;23.05;243.35;68.916;54.979;2136.41;220.3
2013-01;19.27;76.78;45.158;11.875;1399.89;57.51
2013-02;21.56;83.28;49.071;16.382;1374.0;61.72
2013-03;32.56;124.35;67.015;24.745;2077.45;91.79
2013-04;29.86;113.48;58.883;20.418;1766.48;83.62
2013-05;15.18;60.06;40.76;10.573;1263.55;44.88
2013-06;22.26;143.55;45.198;20.125;1355.93;121.29
2013-07;20.03;70.27;38.049;9.806;1179.52;50.24
2013-08;18.57;107.24;39.197;14.912;1215.11;88.67
2013-09;32.05;88.36;53.201;13.869;1596.04;56.31
2013-10;27.65;128.01;62.221;19.68;1928.86;100.36
2013-11;25.6;111.08;60.229;19.756;1806.87;85.48
2013-12;26.79;127.68;67.695;26.978;2098.56;100.89
2014-01;19.9;89.91;48.351;16.149;1498.88;70.01
2014-02;30.45;82.93;51.724;13.815;1448.28;52.48
2014-03;25.81;109.85;56.702;19.272;1757.77;84.04
2014-04;21.35;64.8;40.752;11.912;1222.57;43.45
2014-05;10.08;108.75;34.282;16.441;1062.75;98.67
2014-06;17.04;40.75;28.356;5.561;850.69;23.71
2014-07;15.61;32.76;22.868;3.822;708.9;17.15
2014-08;17.82;79.83;32.152;12.011;996.71;62.01
2014-09;21.5;68.23;40.723;10.857;1221.68;46.73
2014-10;29.82;66.38;47.143;9.152;1461.42;36.56
2014-11;20.57;65.82;39.816;11.801;1194.48;45.25
2014-12;19.8;73.43;42.765;12.525;1325.71;53.63
2015-01;16.53;73.26;38.171;12.908;1183.29;56.73
2015-02;22.46;71.15;44.684;13.898;1251.15;48.69
2015-03;26.63;89.92;51.191;15.922;1586.91;63.29
2015-04;16.74;144.83;47.28;26.351;1418.4;128.09
2015-05;13.6;63.77;31.554;12.349;978.18;50.17
2015-06;17.84;53.17;31.922;6.434;957.66;35.33
2015-07;19.49;69.72;37.612;11.461;1165.96;50.23
2015-08;19.63;45.98;31.316;6.875;970.8;26.35
2015-09;25.07;64.99;41.451;10.17;1243.54;39.92
2015-10;28.3;71.11;43.533;10.945;1349.51;42.81
2015-11;22.04;100.08;46.245;18.024;1387.36;78.04
2015-12;23.97;70.88;38.348;9.496;1188.8;46.91
2016-01;23.57;90.36;37.222;15.285;1153.88;66.79
2016-02;17.03;71.69;33.593;10.872;974.19;54.66
2016-03;10.37;61.4;29.489;9.771;914.17;51.03
2016-04;12.92;35.15;23.965;5.544;718.94;22.23
2016-05;15.06;151.42;31.589;24.437;979.25;136.36
2016-06;17.76;34.09;27.113;4.643;813.39;16.33
2016-07;14.05;49.92;23.268;7.921;721.32;35.87
2016-08;14.84;40.44;25.654;6.481;795.28;25.6
2016-09;18.27;52.83;34.41;8.514;1032.3;34.56
2016-10;18.8;79.96;35.47;11.006;1099.58;61.16
2016-11;19.49;77.34;42.845;17.337;1285.35;57.85
2016-12;18.3;106.29;49.476;22.18;1533.75;87.99
2017-01;21.23;158.31;62.322;34.453;1931.97;137.08
2017-02;20.18;88.95;46.817;13.508;1310.88;68.77
2017-03;22.04;53.68;34.636;8.098;1073.73;31.64
2017-04;15.29;92.89;35.119;15.321;1053.58;77.6
2017-05;13.69;154.95;32.146;23.932;996.54;141.26
2017-06;20.1;50.11;30.863;8.247;925.89;30.01
2017-07;12.13;109.85;27.713;16.774;859.11;97.72
